transaction_id,customer_id,customer_age,customer_gender,country,product_category,product_name,quantity,unit_price,total_price,payment_method,transaction_date
T00001,C1699,26,Female,UK,Books,NLP with Transformers,4,1195.05,4780.2,Credit Card,2023-09-12
T00002,C1494,37,Other,Australia,Clothing,Jacket,4,91.55,366.2,Debit Card,2022-03-14
T00003,C1720,31,Other,Germany,Clothing,Sneakers,1,185.46,185.46,UPI,2024-04-03
T00004,C1375,42,Male,Australia,Books,NLP with Transformers,3,156.04,468.12,Cash,2022-10-29
T00005,C1196,31,Female,USA,Electronics,Smartwatch,1,1245.4,1245.4,Cash,2023-10-29
T00006,C1833,39,Female,India,Electronics,Smartphone,5,131.96,659.8,Credit Card,2023-07-01
T00007,C1413,44,Female,India,Books,NLP with Transformers,1,1496.65,1496.65,Net Banking,2023-03-10
T00008,C1177,26,Female,Germany,Electronics,Smartphone,4,921.73,3686.92,Cash,2023-05-27
T00009,C1211,26,Female,UK,Clothing,Sneakers,4,1157.77,4631.08,Cash,2023-04-24
T00010,C1863,22,Female,Canada,Books,NLP with Transformers,5,97.18,485.9,Debit Card,2023-01-13
T00011,C1059,62,Female,India,Home,Mixer,2,851.27,1702.54,Debit Card,2024-03-09
T00012,C1724,23,Female,USA,Clothing,Jacket,3,170.21,510.63,Cash,2022-09-08
T00013,C1326,23,Female,Canada,Home,Vacuum Cleaner,3,363.15,1089.45,Net Banking,2024-05-13
T00014,C1304,42,Other,USA,Home,Office Chair,2,512.07,1024.14,Cash,2023-05-22
T00015,C1018,56,Male,USA,Electronics,Smartphone,3,271.52,814.56,Cash,2022-09-05
T00016,C1797,22,Male,India,Home,Desk Lamp,4,484.35,1937.4,UPI,2022-02-22
T00017,C1636,24,Male,India,Home,Desk Lamp,3,802.51,2407.53,Debit Card,2022-12-06
T00018,C1021,54,Female,Germany,Books,Data Science 101,4,273.08,1092.32,Credit Card,2023-03-12
T00019,C1069,57,Male,Canada,Clothing,Jeans,3,372.02,1116.06,Net Banking,2023-06-29
T00020,C1511,35,Other,Germany,Books,Data Science 101,2,293.94,587.88,Debit Card,2022-05-03
T00021,C1244,46,Female,Germany,Clothing,Jeans,2,961.03,1922.06,Cash,2022-11-26
T00022,C1506,57,Female,Canada,Clothing,Jeans,5,1154.98,5774.9,Net Banking,2022-04-04
T00023,C1425,19,Female,Germany,Home,Mixer,2,936.64,1873.28,Net Banking,2022-04-18
T00024,C1468,22,Other,USA,Electronics,Smartphone,5,660.16,3300.8,Net Banking,2022-04-24
T00025,C1653,59,Male,USA,Clothing,Sneakers,4,847.35,3389.4,Cash,2023-07-17
T00026,C1621,32,Other,Germany,Clothing,Jacket,2,107.09,214.18,Credit Card,2023-10-15
T00027,C1493,54,Male,India,Home,Vacuum Cleaner,2,740.12,1480.24,UPI,2022-12-19
T00028,C1521,61,Male,UK,Clothing,T-Shirt,2,1176.99,2353.98,Credit Card,2023-10-08
T00029,C1847,43,Male,Australia,Electronics,Headphones,3,1282.13,3846.39,UPI,2024-04-08
T00030,C1479,27,Female,India,Clothing,T-Shirt,5,1362.7,6813.5,UPI,2023-03-25
T00031,C1221,42,Female,UK,Clothing,Jeans,3,194.64,583.92,Credit Card,2023-02-12
T00032,C1160,50,Other,UK,Clothing,Jacket,5,350.07,1750.35,Cash,2022-07-17
T00033,C1991,25,Female,USA,Clothing,Jacket,1,1484.08,1484.08,Credit Card,2024-03-11
T00034,C1498,18,Male,Australia,Home,Vacuum Cleaner,1,604.47,604.47,Net Banking,2023-11-09
T00035,C1038,27,Male,USA,Clothing,Jacket,1,870.02,870.02,Debit Card,2023-03-06
T00036,C1288,56,Other,USA,Electronics,Headphones,1,289.28,289.28,Debit Card,2022-03-07
T00037,C1483,64,Female,USA,Home,Desk Lamp,4,173.72,694.88,UPI,2022-09-10
T00038,C1809,65,Male,UK,Electronics,Smartphone,3,1124.01,3372.03,Net Banking,2022-11-22
T00039,C1363,18,Other,UK,Books,Data Science 101,3,845.09,2535.27,Net Banking,2023-08-21
T00040,C1681,26,Other,USA,Electronics,Smartwatch,4,508.1,2032.4,UPI,2022-12-26
T00041,C1043,37,Female,Germany,Clothing,T-Shirt,3,285.31,855.93,UPI,2023-07-17
T00042,C1103,31,Male,Australia,Books,Data Science 101,2,896.16,1792.32,Debit Card,2022-04-15
T00043,C1139,61,Female,UK,Books,AI Basics,2,59.7,119.4,Cash,2024-06-07
T00044,C1624,63,Female,India,Electronics,Smartphone,5,556.39,2781.95,Net Banking,2022-06-11
T00045,C1658,28,Other,Germany,Home,Mixer,2,831.41,1662.82,Cash,2022-01-09
T00046,C1461,54,Male,Australia,Electronics,Headphones,2,867.8,1735.6,UPI,2023-05-16
T00047,C1911,26,Female,Australia,Clothing,Jeans,3,165.27,495.81,Net Banking,2022-04-18
T00048,C1135,22,Other,USA,Clothing,Jacket,1,371.76,371.76,Cash,2023-01-19
T00049,C1923,56,Other,USA,Home,Vacuum Cleaner,4,1469.28,5877.12,Debit Card,2024-02-06
T00050,C1989,39,Male,USA,Books,AI Basics,1,1142.43,1142.43,Debit Card,2024-06-08
T00051,C1663,61,Female,India,Electronics,Smartphone,3,927.68,2783.04,Cash,2024-04-29
T00052,C1645,47,Female,India,Books,AI Basics,4,867.48,3469.92,Credit Card,2023-06-18
T00053,C1980,56,Other,USA,Electronics,Laptop,2,1092.09,2184.18,UPI,2023-11-27
T00054,C1749,22,Female,Australia,Books,NLP with Transformers,3,1058.99,3176.97,Credit Card,2023-06-25
T00055,C1233,38,Other,UK,Electronics,Smartphone,2,169.32,338.64,UPI,2023-02-24
T00056,C1842,23,Female,UK,Electronics,Headphones,3,1328.94,3986.82,Debit Card,2023-03-04
T00057,C1037,31,Male,USA,Clothing,T-Shirt,1,1202.05,1202.05,Credit Card,2023-07-26
T00058,C1960,30,Male,Germany,Home,Desk Lamp,4,441.74,1766.96,Net Banking,2024-04-14
T00059,C1716,43,Male,UK,Clothing,Jeans,2,1186.19,2372.38,Cash,2022-03-29
T00060,C1677,48,Female,USA,Books,Data Science 101,5,1096.13,5480.65,UPI,2024-05-20
T00061,C1439,29,Male,Canada,Home,Vacuum Cleaner,3,1032.21,3096.63,Debit Card,2024-01-12
T00062,C1484,29,Other,USA,Clothing,Jeans,3,1407.37,4222.11,Debit Card,2022-09-29
T00063,C1032,50,Male,Australia,Clothing,Sneakers,4,672.92,2691.68,Credit Card,2022-04-24
T00064,C1766,37,Other,UK,Books,AI Basics,5,408.83,2044.15,Net Banking,2023-12-14
T00065,C1522,30,Female,UK,Books,Data Science 101,5,389.98,1949.9,Credit Card,2024-01-12
T00066,C1566,44,Female,Canada,Electronics,Laptop,2,605.09,1210.18,Net Banking,2023-03-07
T00067,C1889,53,Female,USA,Clothing,Jeans,4,1001.68,4006.72,Credit Card,2023-12-02
T00068,C1654,62,Female,Canada,Home,Office Chair,2,929.25,1858.5,Cash,2022-01-23
T00069,C1435,48,Female,Germany,Home,Mixer,5,1371.98,6859.9,Net Banking,2022-12-01
T00070,C1257,48,Other,USA,Home,Vacuum Cleaner,2,1054.21,2108.42,Debit Card,2022-09-03
T00071,C1286,36,Female,India,Home,Mixer,1,718.35,718.35,Debit Card,2022-04-11
T00072,C1915,22,Other,Australia,Home,Desk Lamp,1,1310.39,1310.39,Credit Card,2022-01-19
T00073,C1860,54,Male,UK,Home,Mixer,1,1261.66,1261.66,Debit Card,2022-01-07
